"Date","Employed_people"
"2012 Jan","11,303.0"
"2012 Feb","11,269.2"
"2012 Mar","11,332.1"
"2012 Apr","11,320.6"
"2012 May","11,364.8"
"2012 Jun","11,340.7"
"2012 Jul","11,348.9"
"2012 Aug","11,361.5"
"2012 Sep","11,392.0"
"2012 Oct","11,391.2"
"2012 Nov","11,384.2"
"2012 Dec","11,394.6"
"2013 Jan","11,460.8"
"2013 Feb","11,464.6"
"2013 Mar","11,433.2"
"2013 Apr","11,465.8"
"2013 May","11,459.0"
"2013 Jun","11,473.5"
"2013 Jul","11,458.2"
"2013 Aug","11,461.2"
"2013 Sep","11,477.3"
"2013 Oct","11,470.8"
"2013 Nov","11,447.6"
"2013 Dec","11,416.2"
"2014 Jan","11,451.7"
"2014 Feb","11,474.2"
"2014 Mar","11,529.7"
"2014 Apr","11,536.2"
"2014 May","11,515.3"
"2014 Jun","11,533.6"
"2014 Jul","11,548.3"
"2014 Aug","11,550.6"
"2014 Sep","11,549.5"
"2014 Oct","11,542.5"
"2014 Nov","11,544.0"
"2014 Dec","11,594.7"
"2015 Jan","11,603.6"
"2015 Feb","11,671.1"
"2015 Mar","11,690.7"
"2015 Apr","11,690.3"
"2015 May","11,736.9"
"2015 Jun","11,734.6"
"2015 Jul","11,764.6"
"2015 Aug","11,773.5"
"2015 Sep","11,787.1"
"2015 Oct","11,860.8"
"2015 Nov","11,895.2"
"2015 Dec","11,901.8"
"2016 Jan","11,904.4"
"2016 Feb","11,921.5"
"2016 Mar","11,938.3"
"2016 Apr","11,945.5"
"2016 May","11,947.3"
"2016 Jun","11,973.6"
"2016 Jul","12,001.7"
"2016 Aug","11,975.1"
"2016 Sep","11,957.2"
"2016 Oct","11,985.4"
"2016 Nov","12,010.6"
"2016 Dec","12,030.5"
"2017 Jan","12,047.4"
"2017 Feb","12,050.0"
"2017 Mar","12,113.3"
"2017 Apr","12,167.3"
"2017 May","12,199.5"
"2017 Jun","12,239.5"
"2017 Jul","12,266.1"
"2017 Aug","12,316.8"
"2017 Sep","12,347.3"
"2017 Oct","12,353.9"
"2017 Nov","12,406.3"
"2017 Dec","12,443.2"
"2018 Jan","12,476.5"
"2018 Feb","12,470.5"
"2018 Mar","12,485.7"
"2018 Apr","12,506.8"
"2018 May","12,512.3"
"2018 Jun","12,591.7"
"2018 Jul","12,580.0"
"2018 Aug","12,620.6"
"2018 Sep","12,631.4"
"2018 Oct","12,661.3"
"2018 Nov","12,692.6"
"2018 Dec","12,711.5"
"2019 Jan","12,743.7"
"2019 Feb","12,742.5"
"2019 Mar","12,775.7"
"2019 Apr","12,815.8"
"2019 May","12,858.7"
"2019 Jun","12,872.6"
"2019 Jul","12,891.7"
"2019 Aug","12,930.7"
"2019 Sep","12,942.7"
"2019 Oct","12,908.6"
"2019 Nov","12,943.6"
"2019 Dec","12,966.8"
"2020 Jan","12,982.4"
"2020 Feb","12,995.4"
"2020 Mar","12,995.5"
"2020 Apr","12,403.7"
"2020 May","12,139.7"
"2020 Jun","12,377.3"
"2020 Jul","12,479.1"
"2020 Aug","12,626.6"
"2020 Sep","12,581.3"
"2020 Oct","12,741.3"
"2020 Nov","12,828.8"
"2020 Dec","12,866.1"
"2021 Jan","12,895.3"
"2021 Feb","12,976.6"
"2021 Mar","13,051.6"
"2021 Apr","13,023.0"
"2021 May","13,141.2"
"2021 Jun","13,170.6"
"2021 Jul","13,167.3"
"2021 Aug","13,014.4"
"2021 Sep","12,867.1"
"2021 Oct","12,811.1"
"2021 Nov","13,177.3"
"2021 Dec","13,242.0"
"2022 Jan","13,255.0"

"Source: Australian Bureau of Statistics, Labour Force, Australia January 2022"